car,year,engine_hp,avg_mpg,price,salesman,dealership,sold_date,sold_month
Corvette,2017,335.0,26.0,46450,4,Car Town,2020-03-25,3
Corvette,2017,335.0,26.5,49050,2,Uptown Cars,2017-04-02,4
Corvette,2017,335.0,26.5,51050,2,Car Town,2019-12-03,12
Corvette,2017,335.0,26.5,44450,3,Uptown Cars,2020-05-18,5
Corvette,2017,248.0,28.5,38950,3,Big Bobs,2018-05-17,5
Corvette,2017,248.0,29.5,33150,3,Big Bobs,2018-04-30,4
Corvette,2017,248.0,28.5,35150,3,Big Bobs,2017-03-30,3
Corvette,2017,248.0,28.0,40950,4,Car Town,2020-09-15,9
Corvette,2015,300.0,25.0,47250,2,Uptown Cars,2015-12-18,12
Corvette,2015,240.0,27.5,41850,3,Car Town,2016-04-14,4
Corvette,2015,240.0,27.5,41850,2,Car Town,2017-03-13,3
Corvette,2016,240.0,28.0,43000,4,Big Bobs,2019-04-22,4
Corvette,2016,300.0,25.0,49200,3,Car Town,2019-08-07,8
Corvette,2017,320.0,25.0,49650,2,Car Town,2017-12-24,12
Corvette,2017,248.0,28.0,43950,2,Uptown Cars,2018-11-19,11
Corvette,2015,241.0,27.5,41950,2,Car Town,2015-03-07,3
Corvette,2015,335.0,29.0,50150,4,Big Bobs,2015-07-14,7
Corvette,2015,240.0,29.0,37500,2,Uptown Cars,2017-04-04,4
Corvette,2015,300.0,26.5,43750,2,Uptown Cars,2015-10-24,10
Corvette,2015,180.0,38.5,39000,3,Car Town,2018-12-20,12
Corvette,2015,240.0,27.5,39500,4,Uptown Cars,2018-08-07,8
Corvette,2015,240.0,27.5,39500,3,Uptown Cars,2018-11-10,11
Corvette,2015,180.0,29.0,34950,3,Big Bobs,2016-12-17,12
Corvette,2015,300.0,25.0,45750,2,Car Town,2016-08-15,8
Corvette,2015,180.0,37.0,43450,3,Car Town,2017-12-27,12
Corvette,2015,240.0,29.0,37500,2,Uptown Cars,2015-03-17,3
Corvette,2015,180.0,37.0,41000,3,Uptown Cars,2018-05-20,5
Corvette,2015,180.0,30.0,32950,3,Uptown Cars,2017-04-17,4
Corvette,2016,180.0,35.0,41850,3,Uptown Cars,2017-05-04,5
Corvette,2016,320.0,27.5,47800,2,Uptown Cars,2018-04-06,4
Corvette,2016,180.0,37.0,39850,3,Uptown Cars,2018-12-21,12
Corvette,2016,240.0,28.0,38350,3,Car Town,2016-11-14,11
Corvette,2016,240.0,28.0,40350,2,Uptown Cars,2017-07-16,7
Corvette,2016,240.0,28.0,38350,3,Uptown Cars,2017-07-24,7
Corvette,2016,240.0,28.0,42650,3,Uptown Cars,2019-03-10,3
Corvette,2016,180.0,30.0,33150,3,Uptown Cars,2019-07-10,7
Corvette,2016,180.0,29.0,35150,3,Uptown Cars,2019-04-09,4
Corvette,2016,180.0,35.0,44150,4,Uptown Cars,2017-09-07,9
Corvette,2016,320.0,27.5,45800,2,Car Town,2016-12-19,12
Corvette,2017,248.0,28.5,38750,3,Car Town,2018-05-30,5
Corvette,2017,180.0,28.5,35450,2,Uptown Cars,2020-03-12,3
Corvette,2017,180.0,29.0,33450,2,Car Town,2017-03-29,3
Corvette,2017,248.0,28.0,40750,3,Car Town,2019-03-09,3
Corvette,2017,180.0,35.0,42250,2,Uptown Cars,2017-03-26,3
Corvette,2017,248.0,28.0,42950,3,Big Bobs,2020-01-06,1
Corvette,2017,180.0,37.0,40250,4,Uptown Cars,2018-12-04,12
Corvette,2017,320.0,26.0,49900,3,Uptown Cars,2019-05-06,5
Corvette,2017,320.0,26.5,47900,2,Car Town,2019-12-20,12
Corvette,2017,180.0,35.0,44450,3,Car Town,2017-12-18,12
Corvette,2015,240.0,27.5,42300,3,Uptown Cars,2017-05-26,5
Corvette,2015,240.0,28.5,40300,2,Uptown Cars,2016-03-27,3
Corvette,2015,240.0,28.5,40300,3,Uptown Cars,2017-09-09,9
Corvette,2015,240.0,27.5,42300,2,Uptown Cars,2018-04-03,4
Corvette,2015,300.0,26.5,45800,3,Car Town,2015-04-21,4
Corvette,2015,300.0,25.5,47800,4,Uptown Cars,2015-06-28,6
Corvette,2016,240.0,28.0,43650,3,Uptown Cars,2019-04-12,4
Corvette,2016,300.0,25.0,49950,3,Uptown Cars,2018-04-20,4
Corvette,2016,300.0,25.5,47950,3,Uptown Cars,2019-05-14,5
Corvette,2016,240.0,28.5,41650,3,Big Bobs,2018-04-24,4
Corvette,2017,320.0,26.5,48300,4,Car Town,2017-05-06,5
Corvette,2017,320.0,26.0,50300,2,Car Town,2017-09-17,9
Corvette,2017,248.0,28.0,43950,3,Uptown Cars,2018-04-19,4
Corvette,2017,248.0,28.5,41950,3,Uptown Cars,2020-11-21,11
Corvette,2015,300.0,24.5,56900,4,Big Bobs,2018-12-26,12
Corvette,2015,300.0,26.5,46250,3,Uptown Cars,2017-12-25,12
Corvette,2015,240.0,27.0,50750,2,Uptown Cars,2017-05-21,5
Corvette,2015,240.0,27.5,42750,1,Uptown Cars,2017-08-25,8
Corvette,2015,240.0,28.5,48750,3,Uptown Cars,2015-04-16,4
Corvette,2015,300.0,25.0,48250,3,Car Town,2016-06-29,6
Corvette,2015,240.0,27.5,42750,2,Uptown Cars,2016-05-07,5
Corvette,2015,240.0,27.0,50750,2,Car Town,2017-08-12,8
Corvette,2015,240.0,29.0,40750,3,Car Town,2016-05-30,5
Corvette,2015,300.0,25.5,54900,3,Uptown Cars,2015-12-19,12
Corvette,2015,240.0,28.5,48750,2,Car Town,2016-05-26,5
Corvette,2015,240.0,29.0,40750,3,Uptown Cars,2015-03-07,3
Corvette,2016,240.0,27.0,52000,2,Uptown Cars,2018-05-13,5
Corvette,2016,240.0,28.5,50000,3,Big Bobs,2016-03-22,3
Corvette,2016,240.0,28.0,41850,3,Uptown Cars,2017-06-14,6
Corvette,2016,300.0,25.0,50150,3,Uptown Cars,2018-05-09,5
Corvette,2016,240.0,29.0,41850,2,Uptown Cars,2018-12-04,12
Corvette,2016,300.0,24.5,58950,1,Uptown Cars,2017-12-19,12
Corvette,2016,240.0,28.0,43850,2,Uptown Cars,2019-12-24,12
Corvette,2016,300.0,25.5,48150,3,Car Town,2017-12-20,12
Corvette,2016,300.0,25.5,56950,2,Car Town,2017-03-19,3
Corvette,2017,248.0,28.5,50300,3,Car Town,2019-05-24,5
Corvette,2017,248.0,27.0,52300,3,Car Town,2019-04-23,4
Corvette,2017,320.0,26.0,50500,2,Uptown Cars,2019-03-22,3
Corvette,2017,248.0,28.0,44150,3,Car Town,2017-12-25,12
Corvette,2017,248.0,28.5,42150,2,Car Town,2020-05-03,5
Corvette,2017,320.0,25.0,59300,2,Big Bobs,2018-12-03,12
Corvette,2017,320.0,25.0,57300,2,Uptown Cars,2019-04-11,4
Corvette,2017,320.0,26.5,48500,2,Uptown Cars,2017-04-21,4
Camaro,2014,270.0,20.0,41365,2,Uptown Cars,2015-04-21,4
Camaro,2014,270.0,20.0,35740,2,Car Town,2016-03-25,3
Camaro,2014,270.0,19.5,37615,3,Car Town,2015-05-05,5
Camaro,2014,270.0,19.5,34695,3,Big Bobs,2016-05-13,5
Camaro,2014,270.0,19.5,35725,4,Uptown Cars,2016-12-04,12
Camaro,2014,270.0,19.5,43400,3,Car Town,2016-02-23,2
Camaro,2014,270.0,20.0,32820,3,Big Bobs,2017-05-09,5
Camaro,2014,270.0,19.5,38645,3,Car Town,2015-04-28,4
Camaro,2015,270.0,19.0,37825,4,Uptown Cars,2015-03-11,3
Camaro,2015,270.0,19.0,43620,3,Car Town,2017-12-27,12
Camaro,2015,270.0,19.0,36115,3,Uptown Cars,2016-03-29,3
Camaro,2015,270.0,19.5,35950,3,Uptown Cars,2015-10-20,10
Camaro,2015,270.0,19.5,33210,3,Big Bobs,2016-04-04,4
Camaro,2015,270.0,19.0,38855,3,Uptown Cars,2018-04-02,4
Camaro,2015,270.0,19.5,41585,2,Big Bobs,2016-03-12,3
Camaro,2015,270.0,19.0,35085,4,Uptown Cars,2015-02-02,2
Camaro,2015,270.0,19.0,41310,4,Uptown Cars,2017-07-01,7
Camaro,2016,270.0,19.5,36690,2,Uptown Cars,2017-12-17,12
Camaro,2016,270.0,19.0,44360,3,Car Town,2019-07-21,7
Camaro,2016,270.0,19.0,39595,3,Car Town,2017-01-09,1
Camaro,2016,270.0,19.0,41850,3,Uptown Cars,2018-09-28,9
Camaro,2016,270.0,19.5,42325,3,Uptown Cars,2016-03-15,3
Camaro,2016,270.0,19.0,35885,2,Car Town,2016-07-25,7
Camaro,2016,270.0,19.0,38565,4,Big Bobs,2017-05-12,5
Camaro,2016,270.0,19.0,36915,3,Big Bobs,2018-03-26,3
Camaro,2016,270.0,19.5,34010,3,Uptown Cars,2018-06-20,6
Corvette,2015,300.0,23.5,60700,3,Car Town,2015-03-04,3
Corvette,2015,445.0,20.0,71400,2,Car Town,2018-01-07,1
Corvette,2015,300.0,22.0,63000,1,Car Town,2016-11-20,11
Corvette,2015,445.0,20.5,69100,3,Car Town,2017-03-30,3
Corvette,2016,300.0,22.0,63200,1,Car Town,2019-10-24,10
Corvette,2016,445.0,20.0,72500,3,Uptown Cars,2017-11-23,11
Corvette,2016,300.0,23.5,60900,4,Big Bobs,2016-05-04,5
Corvette,2017,300.0,22.0,63200,2,Car Town,2018-04-07,4
Corvette,2017,300.0,23.0,60900,3,Uptown Cars,2019-01-30,1
Corvette,2017,445.0,19.5,72500,3,Uptown Cars,2020-03-18,3
Corvette,2015,443.0,20.5,67200,3,Uptown Cars,2018-04-30,4
Corvette,2015,302.0,24.5,57900,3,Car Town,2015-05-04,5
Corvette,2015,255.0,32.0,57100,3,Car Town,2018-03-06,3
Corvette,2015,241.0,27.5,52250,4,Uptown Cars,2018-01-11,1
Corvette,2015,255.0,31.5,59400,2,Uptown Cars,2017-05-11,5
Corvette,2015,443.0,21.0,64900,3,Uptown Cars,2015-03-09,3
Corvette,2015,241.0,28.5,49950,3,Car Town,2016-08-17,8
Corvette,2015,302.0,25.5,55600,2,Car Town,2015-12-05,12
Corvette,2016,255.0,32.0,57350,4,Uptown Cars,2016-06-16,6
Corvette,2016,302.0,24.5,58150,2,Car Town,2019-08-11,8
Corvette,2016,302.0,25.5,55850,3,Car Town,2018-03-03,3
Corvette,2016,240.0,28.0,52500,4,Car Town,2016-05-23,5
Corvette,2016,240.0,28.5,50200,3,Uptown Cars,2017-05-22,5
Corvette,2016,443.0,20.5,68600,3,Car Town,2018-01-10,1
Corvette,2016,443.0,21.0,66300,2,Car Town,2018-03-27,3
Corvette,2016,255.0,31.5,59650,2,Uptown Cars,2017-11-02,11
Corvette,2015,445.0,20.0,92600,3,Big Bobs,2017-12-21,12
Corvette,2015,315.0,24.5,81300,1,Uptown Cars,2018-04-05,4
Corvette,2015,315.0,25.5,78300,3,Uptown Cars,2017-02-15,2
Corvette,2015,445.0,21.0,89600,2,Uptown Cars,2018-10-31,10
Corvette,2016,445.0,19.5,93900,3,Uptown Cars,2018-04-30,4
Corvette,2016,315.0,24.5,82500,2,Car Town,2016-04-15,4
Corvette,2016,445.0,21.0,90900,3,Big Bobs,2018-03-09,3
Corvette,2016,315.0,25.5,79500,4,Uptown Cars,2017-05-16,5
Corvette,2017,445.0,20.5,91200,3,Uptown Cars,2019-11-14,11
Corvette,2017,315.0,23.5,82800,3,Uptown Cars,2020-07-28,7
Corvette,2017,445.0,19.5,94200,3,Uptown Cars,2017-03-10,3
Corvette,2017,315.0,24.5,79800,3,Car Town,2019-05-14,5
Corvette,2015,445.0,21.0,94900,3,Car Town,2017-12-25,12
Corvette,2015,315.0,24.5,86600,2,Uptown Cars,2017-03-26,3
Corvette,2015,315.0,24.5,79100,4,Car Town,2018-03-10,3
Corvette,2015,315.0,26.5,76100,2,Uptown Cars,2016-05-09,5
Corvette,2015,445.0,20.5,90400,3,Car Town,2017-04-19,4
Corvette,2015,315.0,25.5,83600,4,Uptown Cars,2017-12-28,12
Corvette,2015,445.0,21.0,87400,4,Big Bobs,2017-03-30,3
Corvette,2015,445.0,20.0,97900,3,Uptown Cars,2018-12-20,12
Corvette,2016,315.0,24.5,87800,3,Uptown Cars,2017-04-23,4
Corvette,2016,315.0,25.5,77300,2,Car Town,2018-05-08,5
Corvette,2016,445.0,19.5,99200,3,Uptown Cars,2017-12-10,12
Corvette,2016,445.0,21.0,96200,1,Car Town,2017-03-16,3
Corvette,2016,315.0,24.5,80300,3,Car Town,2018-06-04,6
Corvette,2016,315.0,25.5,84800,3,Uptown Cars,2019-11-11,11
Corvette,2016,445.0,20.5,91700,3,Uptown Cars,2017-05-09,5
Corvette,2016,445.0,21.0,88700,3,Car Town,2018-03-17,3
Corvette,2017,445.0,20.0,92000,2,Uptown Cars,2018-12-06,12
Corvette,2017,315.0,25.5,77600,3,Uptown Cars,2018-09-13,9
Corvette,2017,445.0,20.5,89000,2,Car Town,2017-11-28,11
Corvette,2017,315.0,23.5,80600,3,Big Bobs,2018-04-15,4
Corvette,2017,315.0,24.5,85100,3,Uptown Cars,2019-03-19,3
Corvette,2017,315.0,23.5,88100,3,Uptown Cars,2019-03-12,3
Corvette,2017,445.0,20.5,96500,3,Uptown Cars,2020-03-07,3
Corvette,2017,445.0,19.5,99500,3,Uptown Cars,2017-09-05,9
Corvette,2015,535.0,16.5,141200,3,Uptown Cars,2016-09-28,9
Corvette,2015,315.0,24.0,78000,3,Uptown Cars,2016-09-24,9
Corvette,2015,445.0,20.5,91000,3,Car Town,2015-05-09,5
Corvette,2015,445.0,20.0,94000,3,Uptown Cars,2018-01-28,1
Corvette,2015,315.0,23.5,81000,3,Uptown Cars,2017-05-11,5
Corvette,2015,315.0,24.0,74000,2,Uptown Cars,2018-04-22,4
Corvette,2015,445.0,21.0,87300,3,Car Town,2017-04-06,4
Corvette,2015,445.0,20.0,90300,3,Uptown Cars,2017-12-13,12
Corvette,2015,255.0,27.0,82500,2,Uptown Cars,2018-05-02,5
Corvette,2016,445.0,21.0,94400,2,Uptown Cars,2019-12-11,12
Corvette,2016,320.0,25.0,81300,3,Uptown Cars,2017-12-12,12
Corvette,2016,445.0,20.5,97400,3,Car Town,2016-02-04,2
Corvette,2017,445.0,21.5,94600,4,Uptown Cars,2020-12-20,12
Corvette,2017,445.0,20.5,97600,2,Car Town,2017-03-30,3
Corvette,2017,320.0,23.5,84500,4,Uptown Cars,2019-04-08,4
Corvette,2017,320.0,25.0,81500,3,Uptown Cars,2020-10-03,10
Corvette,1995,282.0,18.5,4784,3,Uptown Cars,1995-06-26,6
Corvette,1995,322.0,15.5,5858,4,Car Town,1996-01-26,1
Corvette,1995,372.0,14.0,8488,3,Big Bobs,1997-02-28,2
Corvette,1996,322.0,15.5,6954,1,Car Town,1997-05-12,5
Corvette,1996,282.0,16.5,5680,4,Car Town,1996-12-29,12
Corvette,1997,322.0,15.5,7624,3,Car Town,1998-07-19,7
Corvette,1997,282.0,16.5,6693,3,Uptown Cars,1997-03-03,3
Camaro,2017,205.0,24.5,26255,2,Car Town,2017-12-10,12
Camaro,2017,200.0,28.0,26975,3,Uptown Cars,2019-04-11,4
Corvette,2014,335.0,26.5,61400,2,Car Town,2015-05-12,5
Corvette,2015,335.0,26.5,61900,3,Uptown Cars,2015-12-12,12
Corvette,2016,335.0,26.5,62100,2,Uptown Cars,2019-03-12,3
Corvette,2013,350.0,26.0,84300,2,Big Bobs,2015-03-13,3
Corvette,2014,350.0,26.0,84300,2,Uptown Cars,2017-12-24,12
Corvette,2015,335.0,26.0,84300,3,Uptown Cars,2016-12-09,12
Corvette,2010,480.0,18.0,88900,2,Uptown Cars,2012-04-26,4
Corvette,2011,480.0,18.0,88900,3,Uptown Cars,2012-04-11,4
Mustang,1995,135.0,19.0,2000,3,Uptown Cars,1995-03-09,3
Mustang,1995,135.0,18.5,2000,2,Uptown Cars,1995-07-28,7
Mustang,1995,155.0,16.0,2000,2,Uptown Cars,1997-03-17,3
Mustang,1995,135.0,18.5,2000,3,Uptown Cars,1996-03-02,3
Mustang,1996,140.0,18.0,2000,2,Car Town,1996-03-07,3
Mustang,1996,155.0,16.0,2000,2,Big Bobs,1997-05-10,5
Mustang,1996,140.0,18.0,2000,3,Car Town,1998-03-19,3
Mustang,1996,140.0,19.0,2000,3,Car Town,1999-03-15,3
Mustang,1997,140.0,18.0,2000,3,Uptown Cars,2000-06-11,6
Mustang,1997,140.0,18.5,2000,2,Big Bobs,2000-03-21,3
Mustang,1997,152.0,15.0,2000,4,Car Town,2000-03-21,3
Mustang,1997,140.0,18.5,2000,3,Uptown Cars,2000-07-04,7
Corvette,2015,540.0,20.0,117300,3,Uptown Cars,2016-02-08,2
Corvette,2016,600.0,19.5,122200,3,Uptown Cars,2017-12-07,12
Corvette,2017,600.0,19.5,122500,3,Big Bobs,2018-03-03,3
Corvette,2014,540.0,20.0,135200,2,Car Town,2016-06-24,6
Corvette,2014,540.0,20.5,132200,3,Car Town,2016-02-06,2
Corvette,2014,540.0,20.0,131300,4,Big Bobs,2015-04-18,4
Corvette,2014,540.0,20.5,128300,4,Uptown Cars,2016-12-18,12
Corvette,2015,540.0,20.5,132200,3,Uptown Cars,2017-03-29,3
Corvette,2015,540.0,20.0,131300,3,Car Town,2015-03-15,3
Corvette,2015,540.0,20.0,135200,3,Car Town,2018-04-11,4
Corvette,2015,540.0,20.5,128300,2,Uptown Cars,2017-12-23,12
Corvette,2017,600.0,20.0,137000,2,Uptown Cars,2020-03-23,3
Corvette,2003,375.0,16.0,136900,3,Uptown Cars,2005-05-16,5
Mustang,1995,63.0,34.5,2000,3,Car Town,1995-02-22,2
Mustang,1995,63.0,34.5,2000,2,Big Bobs,1997-04-06,4
Mustang,1995,63.0,34.5,2000,2,Uptown Cars,1998-04-23,4
Mustang,1996,63.0,33.5,2000,1,Uptown Cars,1996-06-07,6
Mustang,1996,63.0,33.5,2000,4,Uptown Cars,1997-03-18,3
Mustang,1997,63.0,33.5,2000,3,Uptown Cars,2000-01-18,1
Mustang,1997,63.0,33.5,2000,4,Car Town,1997-12-02,12
Camaro,2015,200.0,39.5,37800,2,Uptown Cars,2017-02-15,2
Camaro,2015,200.0,39.5,41700,1,Car Town,2017-05-28,5
Camaro,2015,200.0,39.5,36470,2,Uptown Cars,2018-05-06,5
Camaro,2016,200.0,39.5,36650,2,Big Bobs,2018-04-15,4
Camaro,2016,200.0,39.5,38100,2,Uptown Cars,2019-03-05,3
Camaro,2016,200.0,39.5,41950,3,Big Bobs,2016-09-26,9
Camaro,2017,200.0,39.5,42550,3,Uptown Cars,2017-10-22,10
Camaro,2017,200.0,39.5,38700,2,Uptown Cars,2018-01-17,1
Camaro,2017,200.0,39.5,37250,3,Uptown Cars,2020-04-10,4
Camaro,2015,268.0,26.0,37170,4,Uptown Cars,2016-04-11,4
Camaro,2015,268.0,26.0,32285,4,Uptown Cars,2018-09-02,9
Camaro,2015,268.0,26.0,39980,3,Uptown Cars,2017-04-28,4
Camaro,2015,268.0,26.0,36080,2,Uptown Cars,2018-02-20,2
Camaro,2015,268.0,26.0,34140,3,Car Town,2017-03-27,3
Camaro,2016,268.0,26.0,37050,2,Uptown Cars,2018-08-06,8
Camaro,2016,268.0,26.0,35850,3,Big Bobs,2016-12-25,12
Camaro,2016,268.0,26.0,40450,3,Uptown Cars,2019-03-07,3
Camaro,2016,268.0,26.0,32650,3,Car Town,2017-06-16,6
Camaro,2016,268.0,26.0,34400,3,Car Town,2018-05-21,5
Camaro,2017,268.0,25.5,41050,4,Uptown Cars,2017-10-10,10
Camaro,2017,268.0,25.5,37650,2,Uptown Cars,2017-05-06,5
Camaro,2017,268.0,25.5,33250,3,Car Town,2019-10-03,10
Camaro,2017,268.0,25.5,36450,3,Big Bobs,2017-04-15,4
Camaro,2017,268.0,25.5,35000,4,Car Town,2017-12-29,12
Mustang,1990,140.0,18.0,2000,3,Car Town,1990-05-15,5
Mustang,1990,140.0,18.0,2000,3,Car Town,1990-03-26,3
Mustang,1990,140.0,17.5,2000,2,Car Town,1990-10-20,10
Mustang,1990,140.0,17.5,2000,4,Car Town,1990-10-02,10
Mustang,1990,140.0,17.5,2000,3,Uptown Cars,1990-08-24,8
Mustang,1990,140.0,18.0,2000,3,Uptown Cars,1990-07-27,7
Mustang,1990,140.0,17.5,2000,3,Car Town,1990-05-30,5
Mustang,1990,140.0,18.0,2000,3,Uptown Cars,1990-12-17,12
Mustang,1994,185.0,14.0,2308,3,Uptown Cars,1997-05-20,5
Mustang,1994,185.0,14.5,2585,3,Car Town,1997-09-05,9
Mustang,1994,185.0,14.0,2396,4,Big Bobs,1994-09-26,9
Mustang,1995,205.0,14.0,2620,3,Uptown Cars,1998-05-26,5
Mustang,1995,205.0,14.5,2872,3,Uptown Cars,1998-12-22,12
Mustang,1995,205.0,14.0,2474,2,Car Town,1997-05-16,5
Mustang,1996,199.0,14.5,2774,2,Big Bobs,1996-05-30,5
Mustang,1996,199.0,14.5,2996,3,Uptown Cars,1999-03-30,3
Mustang,1996,199.0,13.5,3248,1,Uptown Cars,1997-10-10,10
Mustang,2015,188.0,39.5,27170,3,Big Bobs,2017-03-20,3
Mustang,2015,188.0,39.5,24170,3,Car Town,2017-04-23,4
Mustang,2016,188.0,39.5,24170,4,Uptown Cars,2019-08-16,8
Mustang,2016,188.0,39.5,27170,3,Uptown Cars,2017-05-23,5
Mustang,2017,188.0,39.5,24120,3,Uptown Cars,2020-03-19,3
Mustang,2017,188.0,39.5,27120,3,Uptown Cars,2020-04-08,4
Camaro,2015,200.0,39.0,29980,3,Uptown Cars,2017-04-04,4
Camaro,2015,200.0,39.0,27995,3,Uptown Cars,2018-04-16,4
Camaro,2015,200.0,41.0,26790,3,Car Town,2017-07-14,7
Camaro,2016,200.0,39.0,30140,3,Car Town,2017-05-24,5
Camaro,2016,200.0,39.0,27995,3,Car Town,2017-03-02,3
Camaro,2016,200.0,41.0,26790,3,Uptown Cars,2017-05-09,5
Camaro,2017,200.0,40.0,26790,2,Uptown Cars,2020-06-20,6
Camaro,2017,200.0,38.5,27995,2,Car Town,2019-03-27,3
Camaro,2017,200.0,38.5,30140,2,Car Town,2017-08-29,8
Camaro,2006,157.0,25.0,21855,4,Uptown Cars,2009-04-15,4
Camaro,2006,225.0,22.0,26940,2,Car Town,2009-10-11,10
Camaro,2006,225.0,22.5,23355,2,Uptown Cars,2009-04-02,4
Camaro,2006,225.0,22.0,30210,4,Uptown Cars,2008-07-22,7
Camaro,2006,157.0,25.5,21025,4,Uptown Cars,2008-05-19,5
Camaro,2006,225.0,22.5,21860,3,Car Town,2009-08-26,8
Camaro,2006,157.0,25.0,20360,3,Car Town,2007-05-29,5
Camaro,2006,157.0,25.5,19530,3,Car Town,2006-07-17,7
Camaro,2006,225.0,22.5,26405,3,Uptown Cars,2007-08-24,8
Camaro,2006,157.0,25.0,23405,4,Car Town,2008-12-06,12
Camaro,2007,155.0,26.0,19930,3,Uptown Cars,2010-08-13,8
Camaro,2007,210.0,22.0,29460,3,Big Bobs,2007-12-09,12
Camaro,2007,210.0,22.0,27190,3,Car Town,2009-05-13,5
Camaro,2007,155.0,26.5,20760,3,Uptown Cars,2007-12-19,12
Camaro,2007,155.0,26.5,23030,3,Uptown Cars,2007-12-18,12
Camaro,2007,210.0,22.5,24530,2,Uptown Cars,2009-02-10,2
Camaro,2007,155.0,26.5,23905,2,Uptown Cars,2008-01-02,1
Camaro,2007,210.0,22.5,26905,3,Uptown Cars,2010-07-13,7
Camaro,2007,210.0,22.0,30460,3,Uptown Cars,2008-11-06,11
Camaro,2007,210.0,22.5,22260,3,Uptown Cars,2009-05-08,5
Camaro,2007,155.0,26.0,22200,2,Uptown Cars,2010-04-15,4
Camaro,2008,210.0,22.0,27440,2,Car Town,2011-12-02,12
Camaro,2008,155.0,26.5,24155,3,Big Bobs,2008-03-11,3
Camaro,2008,155.0,26.0,22450,2,Uptown Cars,2008-06-25,6
Camaro,2008,210.0,22.5,27155,2,Car Town,2010-03-22,3
Camaro,2008,210.0,22.5,22510,4,Car Town,2008-11-25,11
Camaro,2008,210.0,22.0,30710,3,Car Town,2011-09-01,9
Camaro,2008,155.0,26.5,21010,3,Uptown Cars,2010-03-15,3
Camaro,2008,210.0,22.5,24780,2,Big Bobs,2011-05-02,5
Camaro,2008,155.0,26.5,23280,3,Uptown Cars,2010-05-20,5
Camaro,2008,210.0,22.0,29710,3,Car Town,2009-02-21,2
Camaro,2008,155.0,26.0,20180,4,Car Town,2009-03-05,3
Camaro,2015,178.0,30.0,26150,3,Car Town,2018-09-26,9
Camaro,2015,178.0,30.0,26150,1,Uptown Cars,2018-07-25,7
Camaro,2015,268.0,26.0,31370,3,Car Town,2018-02-13,2
Camaro,2015,268.0,26.0,31370,2,Car Town,2017-03-23,3
Camaro,2015,178.0,30.0,22970,2,Big Bobs,2017-04-08,4
Camaro,2015,178.0,30.0,23840,3,Car Town,2016-07-15,7
Camaro,2016,178.0,30.0,26310,1,Big Bobs,2016-07-07,7
Camaro,2016,178.0,30.0,23840,3,Uptown Cars,2016-12-08,12
Camaro,2016,178.0,30.0,26310,3,Car Town,2019-05-17,5
Camaro,2016,178.0,30.0,25715,4,Uptown Cars,2019-04-02,4
Camaro,2016,178.0,30.0,23070,3,Car Town,2017-01-22,1
Camaro,2016,268.0,26.0,31370,3,Car Town,2017-05-21,5
Camaro,2016,268.0,26.0,31370,3,Uptown Cars,2018-04-06,4
Camaro,2017,178.0,28.5,23070,3,Big Bobs,2017-05-29,5
Camaro,2017,178.0,28.5,23840,3,Uptown Cars,2019-03-28,3
Camaro,2017,178.0,28.5,26310,3,Uptown Cars,2017-05-14,5
Camaro,2017,268.0,25.5,31370,3,Uptown Cars,2017-04-13,4
Camaro,2017,268.0,25.5,31370,3,Uptown Cars,2020-03-27,3
Camaro,2017,178.0,28.5,26310,2,Big Bobs,2017-05-03,5
